date,open,high,low,close,volume
2009/7/27,13430,13510,13380,13505,8540
2009/7/28,13505,13660,13505,13570,21234
2009/7/29,13560,13620,13450,13490,12650
2009/7/30,13505,13560,13470,13500,7788
2009/7/31,13575,13600,13470,13550,18128
2009/8/3,13610,13765,13530,13640,31244
2009/8/4,13730,13755,13570,13605,20574
2009/8/5,13600,13700,13600,13610,17650
2009/8/6,13615,13635,13480,13505,17388
2009/8/7,13470,13550,13450,13455,9336
2009/8/10,13480,13650,13480,13630,18580
2009/8/11,13645,13940,13635,13900,63320
2009/8/12,13900,13925,13790,13820,30376
2009/8/13,13885,14000,13855,13910,42012
2009/8/14,13900,13900,13680,13710,37856
2009/8/17,13480,13625,13465,13500,35064
2009/8/18,13495,13560,13485,13545,14370
2009/8/19,13525,13540,13405,13420,19076
2009/8/20,13475,13535,13430,13520,13380
2009/8/21,13475,13495,13410,13425,10966
2009/8/24,13470,13570,13470,13560,13844
2009/8/25,13530,13590,13420,13480,14014
2009/8/26,13450,13450,13305,13340,26930
2009/8/27,13325,13325,13230,13270,14008
2009/8/28,13290,13345,13270,13310,10932
2009/8/31,13350,13380,13205,13230,12238
2009/9/1,13285,13335,13250,13280,13776
2009/9/2,13200,13210,13105,13155,13206
2009/9/3,13200,13235,13160,13210,8328
2009/9/4,13210,13310,13200,13245,11062
2009/9/7,13270,13460,13250,13420,28620
2009/9/8,13415,13495,13365,13450,16806
2009/9/9,13495,13520,13415,13430,9652
2009/9/10,13430,13435,13365,13415,7242
2009/9/11,13415,13465,13380,13405,8016
2009/9/14,13370,13560,13300,13550,38000
2009/9/15,13615,13765,13550,13730,62940
2009/9/16,13780,13780,13620,13640,36024
2009/9/17,13665,13760,13650,13710,24168
2009/9/18,13735,13870,13700,13715,40356
2009/9/21,13745,13780,13700,13705,15502
2009/9/22,13605,13690,13605,13670,13714
2009/9/23,13770,13775,13700,13730,20546
2009/9/24,13755,13895,13750,13890,38006
2009/9/25,13850,13900,13810,13825,31600
2009/9/28,13700,13750,13610,13645,26288
2009/9/29,13700,13715,13640,13690,7622
2009/9/30,13650,13695,13615,13670,10052
2009/10/9,13780,13980,13780,13960,23294
2009/10/12,14025,14160,14000,14120,46592
2009/10/13,14110,14140,14050,14060,21534
2009/10/14,14145,14270,14135,14250,38626
2009/10/15,14300,14310,14185,14210,28672
2009/10/16,14245,14270,14200,14255,18514
2009/10/19,14325,14550,14325,14550,36890
2009/10/20,14500,14570,14410,14500,35414
2009/10/21,14460,14505,14295,14305,47806
2009/10/22,14360,14385,14265,14340,41040
2009/10/23,14380,14445,14350,14395,26292
2009/10/26,14320,14480,14305,14480,23332
2009/10/27,14420,14510,14400,14445,21666
2009/10/28,14750,14970,14750,14955,39114
2009/10/29,14915,14965,14685,14730,52702
2009/10/30,14805,14875,14730,14775,38942
2009/11/2,14735,14905,14730,14880,56154
2009/11/3,14870,14930,14855,14895,37836
2009/11/4,14895,14920,14855,14890,23800
2009/11/5,14935,14940,14870,14895,24704
2009/11/6,14865,15020,14865,14990,65454
2009/11/9,14960,15250,14930,15210,124848
2009/11/10,15235,15365,15235,15295,105200
2009/11/11,15365,15515,15350,15505,115210
2009/11/12,15420,15450,15310,15415,99854
2009/11/13,15365,15615,15305,15400,199054
2009/11/16,15440,15495,15320,15360,128722
2009/11/17,15420,15520,15270,15475,190880
2009/11/18,15460,15560,15430,15470,127884
2009/11/19,15510,15515,15350,15395,107848
2009/11/20,15405,15665,15380,15665,238530
2009/11/23,15815,16190,15765,16190,222132
2009/11/24,16200,16315,15955,16230,389170
2009/11/25,16300,16400,16035,16140,501842
2009/11/26,16090,16215,15890,15970,426800
2009/11/27,15900,15990,15400,15630,396914
2009/11/30,15800,15900,15635,15800,360914
2009/12/1,15830,15835,15560,15610,245688
2009/12/2,15565,15735,15540,15655,263346
2009/12/3,15620,15985,15605,15960,477250
2009/12/4,15905,15995,15785,15865,338294
2009/12/7,15855,16130,15855,16100,323078
2009/12/8,16210,16310,16045,16140,369094
2009/12/9,16010,16050,15740,15750,220782
2009/12/10,15785,15900,15640,15760,209252
2009/12/11,15750,15905,15700,15770,295730
2009/12/14,15835,15845,15635,15725,201618
2009/12/15,15860,16080,15810,16070,309176
2009/12/16,16005,16065,15950,15990,272120
2009/12/17,16170,16175,15840,15860,305388
2009/12/18,15780,16045,15780,15970,268540
2009/12/21,15995,15995,15850,15885,134998
2009/12/22,15845,16065,15840,15915,295218
2009/12/23,15870,15920,15680,15730,266798
2009/12/24,15770,15830,15665,15800,254274
2009/12/25,15770,16055,15725,15995,444320
2009/12/28,16040,16575,16020,16575,503838
2009/12/29,16640,16715,16460,16500,584560
2009/12/30,16480,16580,16390,16485,401138
2009/12/31,16540,16615,16450,16520,373734
2010/1/4,16600,16845,16530,16610,498986
2010/1/5,16650,16680,16485,16525,275464
2010/1/6,17140,17365,17050,17190,317856
2010/1/7,17250,17405,16555,16810,493236
2010/1/8,16800,16920,16585,16735,359024
2010/1/11,16805,17010,16800,16840,307858
2010/1/12,16950,17045,16780,16875,284682
2010/1/13,16590,16640,16385,16425,234868
2010/1/14,16575,16625,16450,16465,163302
2010/1/15,16400,16520,16300,16325,207254
2010/1/18,16200,16385,16200,16350,117020
2010/1/19,16400,16445,16315,16360,78302
2010/1/20,16400,16400,16020,16035,196942
2010/1/21,16030,16275,15925,16240,322974
2010/1/22,16120,16365,16030,16305,361360
2010/1/25,16280,16375,16200,16300,221070
2010/1/26,16155,16185,15905,15910,270770
2010/1/27,15975,16040,15895,15970,156246
2010/1/28,15815,15950,15750,15905,177812
2010/1/29,15900,15975,15790,15880,140756
2010/2/1,15920,16045,15870,15995,213226
2010/2/2,15930,15975,15705,15780,188676
2010/2/3,15970,16100,15900,16065,185656
2010/2/4,15980,16160,15950,16115,204924
2010/2/5,15905,16060,15900,16045,133156
2010/2/8,15860,15905,15760,15805,142512
2010/2/9,16005,16040,15920,15940,88794
2010/2/10,16155,16260,16105,16150,132508
2010/2/11,16200,16250,16160,16190,51248
2010/2/12,16230,16275,16165,16230,43230
2010/2/22,17000,17000,16665,16765,133620
2010/2/23,16810,16910,16810,16835,140400
2010/2/24,16745,16810,16615,16615,124340
2010/2/25,16655,16685,16430,16435,140000
2010/2/26,16585,16820,16580,16780,313990
2010/3/1,16925,16990,16750,16775,156062
2010/3/2,16785,16800,16610,16630,112230
2010/3/3,16625,16870,16560,16830,294112
2010/3/4,16890,16945,16680,16685,222360
2010/3/5,16660,16790,16660,16755,113990
2010/3/8,16810,16960,16760,16845,213700
2010/3/9,16855,17150,16830,17085,489530
2010/3/10,16975,17020,16885,16910,269546
2010/3/11,16900,16950,16710,16770,216730
2010/3/12,16745,16875,16675,16850,177168
2010/3/15,16950,16975,16865,16955,247682
2010/3/16,16945,17070,16775,17020,340174
2010/3/17,17115,17190,17020,17135,329330
2010/3/18,17080,17190,17000,17080,277562
2010/3/19,17160,17440,17155,17340,366762
2010/3/22,17335,17420,17300,17320,228118
2010/3/23,17355,17390,17110,17165,262822
2010/3/24,17200,17250,17040,17085,208564
2010/3/25,17010,17125,16965,17050,168854
2010/3/26,17000,17020,16890,16970,209824
2010/3/29,16950,17055,16920,16945,128626
2010/3/30,16990,17000,16870,16945,176684
2010/3/31,16920,16985,16840,16870,189514
2010/4/1,16960,17000,16920,16930,136192
2010/4/2,16990,17110,16965,17105,138918
2010/4/6,17120,17195,17110,17170,101430
2010/4/7,17150,17170,17075,17100,87242
2010/4/8,17040,17050,17005,17010,69434
2010/4/9,16870,16905,16800,16890,137578
2010/4/12,16900,16970,16860,16925,85734
2010/4/13,16870,16915,16850,16895,62438
2010/4/14,17000,17060,16945,16950,60148
2010/4/15,16930,16975,16915,16915,33914
2010/4/16,16485,16600,16480,16550,51692
2010/4/19,16885,16910,16750,16790,103712
2010/4/20,16855,16945,16850,16945,67680
2010/4/21,16750,16875,16660,16735,144364
2010/4/22,16680,16735,16660,16680,58474
2010/4/23,16700,16815,16680,16770,87292
2010/4/26,16875,16880,16750,16760,82896
2010/4/27,16740,16795,16695,16755,75232
2010/4/28,16675,16925,16650,16890,208362
2010/4/29,16860,16970,16850,16935,172246
2010/4/30,16880,16940,16830,16935,129836
2010/5/4,16895,16945,16840,16850,105280
2010/5/5,16700,16745,16665,16725,118140
2010/5/6,16795,16835,16680,16680,111128
2010/5/7,16500,16610,16460,16545,158162
2010/5/10,16615,16680,16565,16675,93768
2010/5/11,16640,16720,16615,16625,135052
2010/5/12,16580,16675,16575,16655,98752
2010/5/13,16650,16805,16650,16795,131944
2010/5/14,16760,16860,16730,16790,114360
2010/5/17,16760,17000,16675,16765,570970
2010/5/18,16835,17160,16830,17065,361558
2010/5/19,17030,17265,16960,17170,361040
2010/5/20,17205,17250,17000,17045,367652
2010/5/21,18100,18255,18010,18235,253082
2010/5/24,18280,18350,18020,18070,294916
2010/5/25,18020,18100,17750,17760,326696
2010/5/26,17830,17960,17755,17910,302368
2010/5/27,16820,16905,16795,16825,164690
